RecipeItem/0/_ItemName,RecipeItem/1/_ItemName,RecipeItem/2/_ItemName,RecipeItem/3/_ItemName,RecipeItem/4/_ItemName,RecipeItem/5/_ItemName,RecipeItem/6/_ItemName,RecipeItem/7/_ItemName,RecipeItem/8/_ItemName,RecipeItem/9/_ItemName,RecipeItem/9/_itemQuantityText,memo/__cdata,_createDate,_description,_modifyDate,_nutrientRefNum,_primaryKey,_recordType,_useStaticIngrStmt,_userCode,_version,RecipeItem/10/_ItemName,RecipeItem/11/_ItemName,RecipeItem/12/_ItemName,RecipeItem/12/_itemQuantityText,RecipeItem/13/_ItemName,RecipeItem/14/_ItemName,RecipeItem/15/_ItemName,RecipeItem/15/_itemQuantityText,RecipeItem/16/_ItemName,RecipeItem/16/_itemQuantityText,RecipeItem/17/_ItemName,RecipeItem/18/_ItemName,RecipeItem/19/_ItemName,RecipeItem/20/_ItemName

Salted Butter,WhiteOnion Cooked Drained Whole-Lrg,"Beef Flank Steak Choice Ln 0""Tr-Brsd",Caraway Seeds,Dried Marjoram,Fresh Garlic Cloves,Paprika,Water,"Peeled Potato Ckd w/Salt Lrg-3"" to 4.25""",,,"PREP TIME: 20 Min

COOK TIME: 3 Hr 30 Min

YIELD: 6 Servings



METHOD:



STEP 1: Melt butter in a large soup pot over medium high heat. Saute diced onions until soft, then add beef and brown. Stir in caraway seed, marjoram, garlic (minced), and paprika. Pour water over all, lower heat to low and simmer for 2 1/2 hours.



STEP 2: Add cubed potatoes and cook until tender, another 45 minutes to 1 hour. Season with salt and pepper to taste and serve.



Copyright @ 2005

www.allrcipes.com



Recipe submitted by Susannah",7/12/05,"Dish, Hungarian goulash",3/8/06,89411684,89411684,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Eggplant Cubes Cooked-Drnd,Fresh Lemon Juice,Tahini f/Unrstd Kernels,Dried Whole Sesame Seeds,Fresh Garlic Cloves,Black Pepper,Table Salt,Olive Salad/Cooking Oil,,,,"PREP TIME: 5 Min

COOK TIME: 40 Min

YIELD: 1 1/2 Cups - 12 Servings



METHOD:



STEP 1: Preheat oven to 400 degrees F (200 degrees C). Lightly grease a baking sheet.



STEP 2; Place one whole eggplant on baking sheet, and make holes in the skin with a fork. Roast it for 30 to 40 minutes, turning occasionally, or until soft. Remove from oven, and place into a large bowl of cold water. Remove from water, and peel skin off.



STEP 3: Place eggplant, lemon juice, tahini, sesame seeds, and garlic (minced) in an electric blender, and puree. Season with salt and pepper to taste. Transfer eggplant mixture to a medium size mixing bowl, and slowly mix in olive oil. Refrigerate for 3 hours before serving.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Winky",7/12/05,"Dish, baba ghanoush, Lebanese",7/15/05,43593543,43593543,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

"Peeled Potato Ckd w/Salt Lrg-3"" to 4.25""",Salted Butter,3.25% Whole Milk,Black Pepper,Table Salt,Beef Sausage-Ckd f/Fresh,White Onions Chopped Cooked-Drnd,Brown Gravy-Dry Mix,Water,,,"PREP TIME: 15 Min

COOK TIME: 45 Min

YIELDS: 8 Servings



METHOD:



STEP 1: Preheat the oven to 350 degrees F (175 C). Peel and quarter potatoes, place them in a saucepan with enough water to cover. Bring to a boil, and cook until tender, about 20 minutes. Drain, and mash with 1 teaspoon of the butter, and enough milk to reach your desired creaminess. Continue mashing, or beat with an electric mixer, until smooth. Season with salt and pepper to taste. 



STEP 2: In a large skillet over medium heat, cook the sausage until heated through. Remove from pan, and set aside. Add remaining teaspoon of butter to the skillet, and fry the diced onions. Simmer, stirring constantly, to form a thick gravy.



STEP 3: Pour half of the gravy into a square casserole dish so that it coats the bottom. Place sausages in a layer over the gravy (you can butterfly the sausages if you wish). Pour remaining gravy over them, then top with mashed potatoes.



STEP 4: Bake uncovered for 20 minutes in the preheated oven, or until potatoes are evenly brown.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Amanda Fair",7/12/05,"Dish, bangers & mash, British",7/15/05,210078280,210078280,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Peanut Salad/Cooking Oil,Margarine SoyCorn-Hydrog,WhiteOnion Cooked Drained Whole-Lrg,Fresh Ginger Root,Fresh Garlic Cloves,Ground Cinnamon,Black Pepper,Ground Coriander AST,Ground Cumin Seed AST,Ground Turmeric,,"PREP TIME: 15 Min

COOK TIME: 30 Min

YIELDS: 4 Cups - 32 Servings



NOTE: This is a very versatile Indian curry sauce that can be served as a main course with meats and/or vegetabes or as a sauce for dipping or to spice up veggie side dishes. It's great over baked potatoes.



METHOD:



STEP 1: Heat oil and margarine in a small skillet or wok over medium high heat. Add chopped onion and saute until very brown, 10 to 15 minutes. (Note: This is an important step; if onion is not cooked well, sauce will taste funny.)



STEP 2: Add minced ginger and garlic to onion and saute for an additional 2 minutes. Process onion/ginger/garlic mixture in food processor until smooth. Do not rinse food processor.



STEP 3: Place onion mixture in large saucepan. Stir in the cinnamon, black pepper, coriander, cumin, turmeric and cayenne pepper and cook over low heat until mixture is thick and has the consistency of a paste. 



STEP 4: Puree tomatoes, chile peppers and cilantro in food processor until smooth. Add to onion mixture and stir well over low heat, cooking off moisture from tomatoes and cilantro. Add yogurt a little bit at a time, stirring constantly to avoid curdling.



STEP 5: Blend the whole mixture in food processor to puree it (for a very smooth sauce). Return to saucepan, add water and increase heat to high; bring to a rolling boil. Cover saucepan and boil for 3 to 5 minutes. Reduce heat and simmer until desired consistency is reached.



STEP 6: To serve with meat, cook the meat first separately, then simmer for 5 to 10 minutes in the sauce before serving over rice or with bread. To serve with vegetables, steam raw veggies first for 4 to 5 minutes, then simmer for 5 to 10 minutes in the sauce before serving.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Amy",7/13/05,"Sauce, curry, Indian",7/15/05,199934460,199934460,insert,FALSE,,2.2.0,Dried Ground Cayenne Pepper,"Fresh Red Tomatoes YearRndAvg Med-2 3/5""",Fresh Serrano Peppers,,Fresh Cilantro-Leaves,Plain Whole Milk Yogurt w/8gProt Per Cup,Water,,,,,,,

Yellow Mustard-Prep,Honey,Light Corn Syrup,Mayonnaise Dressing w/Soybean Oil,,,,,,,,"YIELD: 1 1/2 Cups



METHOD:



STEP 1: In medium bowl, combine the mustard, honey, corn syrup, mayonnaise and dried onion flakes. Use half of saue, cover and refrigerate remainder to serve later, if desired.



Copyright @ 2005

www.allrecipe.com



Recipe submitted by: Rebecca

(Sauce from Aussie Chicken Recipe)",7/13/05,"Sauce, Aussie chicken",2/3/09,51651355,51651355,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Burgundy Red Wine-5 fl oz Svg,Brandy-80 Proof,"Fresh White Onions Medium Whole-2 1/2""",Fresh Carrots-Med,Fresh Parsley Sprigs,Dried Crumbled Bay Leaves,Fresh Garlic Cloves,Ground Pink Peppercorns AST,Table Salt,"Beef Chuck Clod Roast Choice 1/4""Tr-Rstd",,"PREP TIME: 30 Min

COOK TIME: 3 Hours

YIELDS: 8 Servings



METHOD:



STEP 1. For Marinade: In a large bowl, combine the wine, brandy, onions. carrots, parsley, one whole bay leaf, garlic, peppercorns and salt. Mix well and add the 2 pounds raw cubed beef. Cover and marinate in the refrigerator for 2 days.



STEP 2: Preheat oven to 300 degrees F (150 degrees C).



STEP 3: For Bourguignon: Strain the meat from the vegetables and marinade; reserve marinade. Dry meat with paper towels. Heat 2 tablespoons of the oil in a large skillet over medium high heat. Add the meat and saute for 10 minutes, or until browned on all sides. Transfer meat to a separate medium bowl with a slotted spoon and set aside.



STEP 4: In the same skillet, add the bacon and saute until lightly browned. Transfer the bacon to the bowl with the meat. Drain the skillet and return it to the heat. Pour a cup of the marinade into the skillet to deglaze the skillet, scraping the bottom to loosen up all the little bits. Return this liquid to the reserved marinade.



STEP 5: Heat the remaining oil in the skillet. Add the onion and carrot from the marinade, along with the additional onion that you've chopped, and saute for 5 minutes, or until tender. Transfer this mixture to the bowl and the meat and bacon, again using a slotted spoon, and return skillet to the heat. Add the flour to the skillet, combining with the oil and stir until well mixed and brown, about 2 minutes.



STEP 6: Now add the tomato paste, garlic, beef broth, reserved marinade and salt and pepper to taste. Bring to a boil and whisk to remove any flour lumps. Add this to the meat and vegetable mixture. Place entire mixture into a 9x13 baking dish.



STEP 7: Bake at 300 degrees F (150 degrees C) for 3 hours, stirring occasionally and adding water as needed. Season with salt and pepper to taste.



STEP 8: About 15 minutes before meat is done baking, melt butter in the skillet over medium high heat. Add the sliced muchrooms and saute 5 to 10 minutes, or until lightly browned. When meat is done, add the mushrooms to the meat mixture, stir well and let sit for about 15 minutes.



Serve with potatoes, noodles or rice.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Judy



",7/13/05,"Stew, beef bourguignon, French",2/3/09,8095440,8095440,insert,FALSE,,2.2.0,Olive Salad/Cooking Oil,Cured Pork Bacon Cooked-Med Slc,"Fresh White Onions Medium Whole-2 1/2""",,Enrich All Purpose Bleached White Flour,Tomato Paste-6oz Can,Fresh Garlic Cloves,,Beef Bouillon-14.5oz rts Can,,Table Salt,Black Pepper,Salted Butter,Fresh Mushrooms-Med

Glutinous White Rice-Ckd,"Beef Top Sirloin Stk Chc 1/8""Tr-PanFrd",Corn Starch,Beef Broth/Bouillon-14oz rts Can,Soy Sauce-f/Soy,Brown Sugar-Packed,Garlic Powder,Fresh Broccoli Florets,,,,"PREP TIME: 15 Min

COOK TIME: 30 Min

YIELDS: 6 Servings



METHOD:



STEP 1: In a saucepan bring 1 2/3 cups water to a boil. Add rice and stir. Reduce heat, cover and simmer for 20 minutes.



STEP 2: Meanwhile, slice beef into very thin strips.



STEP 3: In a mixing bowl, combine the cornstarch, broth, soy sauce, sugar and garlic powder. Mix thoroughly.



STEP 4: In a large skillet, over medium/high heat, saute the beef strips until browned and juices evaporate.



STEP 5: Stir broccoli and cornstarch mixture into meat. Cook until mixture boil and thickens, stirring frequently. Serve over the cooked rice.



Copyrighrt @ 2005

www.allrecipes.com



Recipe submitted by: Corwynn Darkholme",7/13/05,"Dish, beef teriyaki, Japanese",3/8/06,2639824,2639824,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Ground Pork-Ckd,Ginger-Ground,Garlic Powder,Peanut Salad/Cooking Oil,Enrich All Purpose Bleached White Flour,Water,Red Cabbage Shredded Cooked-Drnd,Fresh Carrots-Grated,"Egg Roll Wrapper-7"" Square",Dried Whole Sesame Seeds,,"YIELDS: 4 Servings



METHOD:



STEP 1: Season pork with ginger and garlic powder and mix thoroughly. Heat mixture in a medium skillet, stirring, until pork is cooked through and no longer pink. Set aside.



STEP 2: In another large skillet heat one quart peanut oil to about 375 degrees F (190 degrees C) or medium high heat.

(8 teaspoons peanut oil, one per egg roll, was used in recipe for nutritional analysis purposes.) While oil is heating, combine flour and water in a bowl until they form a paste. In a separate bowl combine the cabbage, carrots and reserved pork mixture. Mix all together.



STEP 3: Lay out one egg roll skin with a corner pointed toward you. Place about a 1/4 to 1/3 cup of the cabbage. carrots and pork mixture on egg roll paper and fold corner up over the mixture. Fold left and right corners toward the center and continue to roll. Brush a bit of the flour paste on the final corner to help seal the egg roll.



STEP 4: Place egg rolls into heated oil and fry, turning occasionally, until golden brown. Remove from oil and drain on paper towels or rack. Put on serving plate and top with sesame seeds if desired.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Angela Hamilton",7/13/05,"Dish, eggroll w/pork, Chinese",7/15/05,239140452,239140452,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

White Onions Chopped Cooked-Drnd,Beef Ground Hamburger 10%Fat-Pan Browned,Sauerkraut Canned-w/Liquid,Higher Fat Plain Biscuit-Refrig Dough,Cheddar Cheese-Shredded,,,,,,,"PREP TIME: 20 Min

COOK TIME: 25 Min

YIELDS: 6 Servings



METHOD:



STEP 1: Preheat oven to 350 degrees F (175 degrees C). 



STEP 2: Brown onion and 1 1/2 lb raw ground beef in a large skillet over medium high heat; drain extra fat out of skillet, then stir in drained sauerkraut. Heat through and set aside.



STEP 3: Press 1 package (8 oz) of crescent roll dough into the botton of a lightly greased 9x13 inch baking dish. Spread beef mixture on top, then lay 2nd package of crescent roll dough over the top of the beef mixture. Press dough seams together and sprinkle all with cheese.



STEP 4: Bake in preheated oven for 25 to 30 minutes, or until golden brown.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Kathy",7/13/05,"Dish, bierock casserole, German",2/17/09,122127879,122127879,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Firm Tofu w/Calcium Sulfate-Block,Sesame Salad/Cooking Oil,Chinese Waterchestnut Slices w/Liq-Cnd,Shiitake Mushrooms Pieces-Ckd,Steamed Snow Pea Pods-10 Each = 27g,Oyster Flavored Sauce CBT,Water,,,,,"PREP TIME: 10 Min

COOK TIME: 20 Min

YIELDS: 4 Servings



METHOD:



STEP 1: Slice tofu block into 3 long slabs lengthwise. Wrap each slab in paper towels, and press to squeeze out excess water.



STEP 2: Coat a large skillet with cooking spray, and then add 2 teaspoons of the sesame oil. Once the oil is hot, add the tofu slabs to the skillet. Fry for about 5 minutes on each side, or until delicately browned.



STEP 3: Remove tofu from skillet, and slice into cubes. Add the remaining teaspoon of sesame oil to the skillet, and stir fry the drained water chestnuts, mushrooms and snow peas. Mix together water and oyster sauce, and add to the skillet along with the tofu. Cover, and cook over low heat for about 10 minutes.



NOTE: Vegetarians may use mushroom based oyster flavored sauce to make this recipe!



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Melissa



",7/13/05,"Dish, braised tofu, Chinese",7/15/05,907313436,907313436,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Enrich All Purpose Bleached White Flour,Beef Broth-Cnd DLM-CI,White Granulated Sugar,Soy Sauce-f/Soy,"Beef Top Round Steak Choice 1/4""Trim-Frd",Fresh Ginger Root,Fresh Garlic Cloves,Broccoli Chopped Cooked-Drnd,,,,"PREP TIME: 15 Min

COOK TIME: 15 Min

YIELDS: 4 Servings



METHOD:



STEP 1: In a small bowl, combine flour, broth, sugar, and soy sauce. Stir until sugar and flour are dissolved.



STEP 2: In large skillet or wok over high heat, cook and stir beef (cut into bite size pieces) 2 to 4 minutes, or until browned. Stir in broth mixture, chopped ginger, minced garlic, 

and broccoli. Bring to a boil, then reduce heat. Simmer 5 to 10 minutes, or until sauce thickens.



Note: Serve over hot rice or noodles.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Sara

",7/14/05,"Dish, broccoli beef, Asian",7/15/05,148345590,148345590,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

"Fresh Red Tomatoes Year Round Avg Lrg-3""",Fresh Parsley-Chpd,Fresh Chives,Fresh Garlic Cloves,Fresh Basil-Chopped,Extra Virgin Olive Oil NOI,Table Salt,Black Pepper,,,,"PREP TIME: 20 Min

COOK TIME: 1 Hr

YIELDS: 4 Servings



METHOD:



STEP 1: In a medium bowl combine tomatoes (seeded and chopped), parsley, chopped chives, minced garlic, minced basil, olive oil, and salt and pepper to taste. Cover and refrigerate for at least 1 hour, allowing flavors to meld before serving.



NOTE: This makes a great appetizer or a light meal for 2.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Dawn",7/14/05,"Dish, bruschetta, Italian",7/15/05,31700172,31700172,insert,FALSE,,2.2.0,,,,,,,,,,,,,,

Canola Oil,Fresh Shallots-Chpd,Chicken Broil/Fry Whl w/oSkin-Stwd,Curry Sauce-Prep f/Recipe,Curry Powder,Coconut Milk-Canned,Tomato Puree-Cnd,Fish Sauce-rts,Fresh Sugar Palm Fruit INTL,"Fresh Red Tomatoes YearRndAvg Med-2 3/5""",,"PREP TIME: 20 Min

COOK TIME: 30 Min

YIELDS: 4 Servings



METHOD:



STEP 1: Heat the  oil in a medium skillet over low heat, and stir fry the thinly sliced shallots until browned and tender. Drain, reserving the oil, and set aside.



STEP 2: Place the chicken (cut into large pieces) in the reserved oil, and stir in the curry paste and curry powder to evenly coat. Pour in enough water to cover, and bring to a boil. Reduce heat, cover skillet, and simmer until the chicken is no longer pink and juices run clear.



STEP 3: Stir in the coconut milk, tomato puree, fish sauce, palm sugar (1 tbs = 12 g), and 1/2 of the tomatoes (cut in wedges) into the skillet. Cook and stir over low heat until the mixture is smooth and creamy. Mix in the remaining tomato wedges, and continue cooking until tender. Top with the chopped cilantro and the fried shallots to serve.



NOTE: This recipe is good with steamed jasmine rice. It's quite a hot and spicy dish, so if you want it a bit mild, check the curry paste you use first. You can replace coconut milk with evaporated milk, but traditionally, coconut milk is a must.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by Michelle Chen",7/14/05,"Dish, chicken curry, Thai",7/15/05,130453216,130453216,insert,FALSE,,2.2.0,Fresh Cilantro-Leaves,,,,,,,,,,,,,

Sherry Cooking Wine BGF-RE,Fresh Ginger Root Slices,Oyster Sauce-rts,Chinese Five Spice-Pwd INTL,Tamari Soy Sauce,White Granulated Sugar,Hoisin Sauce-rts,Ketchup,Ground Cinnamon,Pork Roast Blade Loin-Rstd,,"PREP TIME: 6 Min

COOK TIME: 1 Hr

YIELDS: 6 Servings



METHOD:



STEP 1: In bowl, sir together dry sherry, sliced ginger root, oyster sauce, five-spice powder, soy sauce, white sugar, hoisin sauce, ketchup and cinnamon.



STEP 2: Cut pork into 5x2 inch strips. Place strips flat in a shallow baking dish. Pour marinade over pork strips. Let pork marinate at least 6 hours in refrigerator.



STEP 3: Drain, reserving marinade. Mix honey and 3 tablespoons reserved marinade in a small bowl; set aside. Preheat oven to 350 degrees F (175 degrees C).



STEP 4: Fill a shallow roasting pan with water and place in botton of oven. Carefully place pork strips on a roasting rack above roasting pan so all sides are exposed to heat. If you don't have a roasting rack, insert the curved end of an S-shaped hook, paper clip, or drapery hook in pork strips and hang them from the top shelf.



STEP 5: Roast for 30 minutes. Baste pork strips with honey mixture. Roast 15 minutes and baste again. Roast 10 minutes longer or until pork strips are crisp and golden brown. Remove from oven and let cool.



NOTE 1: Serve at room temperature arranged in overlapping layers on a platter. Granish with cucumber slices, if desired.



NOTE 2: Hoisin sauce, also called Peking sauce, is a thick, reddish-brown sauce that is sweet and spicy, and widely used in Chinese cooking. It's a mixture of soybeans, garlic, chile peppers and various spices. It can be found in Asian markets and many large supermarkets. Look in the Asian or ethnic section. If this item is not in stock at your local store, ask your grocer to special order it for you. Most grocers will be happy to do this for their customers.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Sherry Gallier





",7/14/05,"Pork, Cantonese barbecued, Chinese",2/3/09,145170830,145170830,insert,FALSE,,2.2.0,Honey,,,,,,,,,,,,,

Fresh Sweet Green Bell Pepper-Med,Fresh White Onions Small-Whole,Fresh Garlic Cloves,Ground Cumin Seed AST,Table Salt,Olive Salad/Cooking Oil,Olive Salad/Cooking Oil,Ground Cumin Seed AST,Tomato Sauce-Cnd,"Beef Shank Crosscut All Lean 1/4""Trm-Raw",,"PREP TIME: 15 Min

COOK TIME: 1 Hr 

YIELDS: 6 Servings



METHOD:



STEP 1: In a blender, combine green pepper (seeded and chopped), chopped onion, crushed garlic, 1/4 teaspoon cumin and salt. Pulse, while pouring 1/8 cup olive oil through top of blender. Blend until smooth; set aside.



STEP 2: Heat 1 tablespoon olive oil in pressure cooker on medium heat. Saute green pepper mixture for 1 minute, then stir in 2 tablespoons achiote powder and 1 teaspoon cumin. Cook for 1 minute, then stir in tomato sauce. Return to a simmer, then add beef (cut into 1 inch cubes); let simmer for 5 minutes. Stir in potatoes, then pour in wine and water. Drop in the bouillon cubes. Bring to a boil, and cook for 1 minute; add water, if necessary, to cover.



STEP 3: Cover with lid of pressure cooker. Following manufacturer's directions, cook under 15 pound pressure for about 30 to 45 minutes.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Heather",7/14/05,"Dish, carne con papas, Cuban",2/3/09,97210364,97210364,insert,FALSE,,2.2.0,"Peeled Potato Cooked-1.75"" to 2.5""",Medium White Wine-5 fl oz Svg,Municipal Tap Water,,Beef Broth Cube,,,,,,,,,

Canola Oil,Chicken Broil/Fry Whl w/oSkin Chpd-Rstd,Table Salt,Black Pepper,Chicken Broth-rts Can CAM-HR,Soy Sauce-f/Soy,Chopped Celery-Steamed,Bamboo Shoots Canned-Svg CON-HL,Chinese Waterchestnut Slices w/Liq-Cnd,Corn Starch,,"PREP TIME: 15 Min

COOK TIME: 15 Min

YIELDS: 6 Servings



METHOD:



STEP 1: Heat oil in a large skillet over medium high heat. Saute chicken until it turns white, then season with salt and pepper and add broth, soy sauce, chopped celery, drained and diced bamboo shoots, and drained and diced water chestnuts. Cover skillet, reduce heat to low and simmer for 5 minutes.



STEP 2: Beat cornstarch in cold water together in a small bowl, then blend into skillet mixture and heat through until thick and bubbly. Sprinkle with cashews and serve.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Tami",7/14/05,"Dish, chicken cashew, Asian",7/15/05,63265230,63265230,insert,FALSE,,2.2.0,Water,Dry Roasted Cashews-Unsalted,,,,,,,,,,,,

Salted Butter,White Onion Cooked Drained Whole-Med,Fresh Sweet Green Bell Pepper-Med,Mushroom Pieces/Slices Canned-Drnd,Beef Ground Hamburger 10%Fat-Pan Browned,Tomato Sauce-Cnd,Spaghetti/Marinara Sauce-rts,"Ham Lunchmeat Chopped-4""x4""x3/32"" Slc",Chicken Broil/Fry Breast w/Skin-Rstd,"Beef & Pork Pepperoni-1 3/8 x 1/8"" Slc",,"YIELDS: 12 TO 20 Servings

               Makes two 9x13 inch pans





NOTE: 16 Servings used for nutitional analysis.



METHOD:



STEP 1: In a small skillet, saute chopped onions, chopped green peppers, and sliced mushrooms in butter or margarine.

Set aside. 



STEP 2: Brown 2 lb raw hamburger in a large skillet over medium heat. Drain. Mix in tomato sauce, pasta sauce, chopped ham, chopped chicken or turkey, pepperoni, salt, and red and black pepper. Add vegetable sauce to hamburger mixture.



STEP 3: Cook pasta (3/4 cup shells and 6 ounces rotini) according to package directions. Drain.



STEP 4: Spread a little sauce over the bottom of two 9x13 inch pans. In each pan place a layer of pasta, a layer of mozarella cheese, a hamburger sauce layer, a sprinkling of Parmesan cheese, and another layer of mozarella cheese. Repeat layers. Cover pans.



STEP 5: Bake at 350 degrees F (175 degrees C) for 30 to 45 minutes.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Shirley Hamilton",7/14/05,"Dish, cavatini, Italian",7/18/05,170293059,170293059,insert,FALSE,,2.2.0,Crushed Red Chili Pepper Flakes,Enrich Pasta Shells Small-Ckd,Enrich Rotini Noodles-Dry NWP-AB,,Mozzarella Cheese Whole Milk-Shredded,Parmesan Cheese-Grated,,,,,,,,

Canola Oil,WhiteOnion Cooked Drained Whole-Lrg,Fresh Garlic Cloves,"Lamb Composite Choice 1/8"" Trim-Cooked",Water,Table Salt,Black Pepper,Dried Ground Cayenne Pepper,Ground Cumin Seed AST,Spinach Cooked-Drnd,,"PREP TIME: 30 Min

COOK TIME: 2 Hrs

YIELDS: 6 Servings



NOTE: Lean beef stew meat may be substituted for the lamb.



METHOD:



STEP 1: Heat 1/2 cup of oil in large heavy skillet over medium-low heat. Add finely chopped onion, and fry gently until transparent. Increase heat to medium, and add minced garlic and cubed stew meat. Cook, stirring frequently, until meat is browned on the outside. Pour in the water (1 1/2 cups), and season with salt, pepper, cayenne pepper to taste, and cumin. Bring to simmer, and reduce heat to low. Cover the pan, and continue cooking for 1 1/2 to 2 hours.



STEP 2: Heat 1/4 cup of oil in a large saucepan over medium-high heat. Add rice, and cook, stirring frequently for 5 minutes. Add 6 cups water, and bring to a boil. Reduce heat to low, and cook loosely covered for about 30 minutes, or until rice is tender.



STEP 3: Add chopped spinach and cilanto to the meat mixture, and cook for another 10 to 15 minutes. Mound the rice on a platter, and spoon some of the lamb stew over. Put remaining stew in a separate serving bowl.



Copyright @ 2005

www.allrecipes.com



Recipe submitted by: Rina

",7/15/05,"Stew, chalau, Afghan",8/29/05,4716744,4716744,insert,FALSE,,2.2.0,Fresh Cilantro-Leaves,Canola Oil,Enrich Long Grain White Rice-Ckd,,,,,,,,,,,

Salted Butter,Mushroom Pieces Cooked-Drnd,Chopped Celery-Steamed,WhiteOnion Cooked Drained Whole-Lrg,Garlic Powder,Chicken Broth-rts Can CAM-HR,Yellow Sweet Corn Cob Ckd Drnd-Baby Ear,Snap Green Beans Ckd-Drained,Soy Sauce-f/Soy,Corn Starch,,"YIELDS: 6 - 8 Servings



NOTE: 8 Servings used for nutitional analysis.



METHOD:



STEP 1: In a wok or skillet, melt butter or margarine over medium heat. Add chopped mushrooms, celery, and onions, and garlic powder; cook until the onions have wilted. Add chicken broth and baby corn. Continue cooking until celery is cooked but still crisp. Stir in green beans or bean sprouts and soy sauce.



